ep: 2270, loss: 4.500e-02, elps: 2.136
ep: 2280, loss: 3.195e-02, elps: 2.130
ep: 2290, loss: 3.194e-02, elps: 2.140
ep: 2300, loss: 5.810e-02, elps: 2.111
ep: 2310, loss: 4.282e-02, elps: 2.113
ep: 2320, loss: 3.031e-02, elps: 2.136
ep: 2330, loss: 3.912e-02, elps: 2.108
ep: 2340, loss: 2.867e-02, elps: 2.135
ep: 2350, loss: 6.832e-02, elps: 2.144
ep: 2360, loss: 1.386e-01, elps: 2.137
ep: 2370, loss: 7.009e-02, elps: 2.123
ep: 2380, loss: 3.065e-02, elps: 2.126
ep: 2390, loss: 2.136e-02, elps: 2.128
ep: 2400, loss: 1.807e-02, elps: 2.135
ep: 2410, loss: 1.667e-02, elps: 2.138
ep: 2420, loss: 3.199e-02, elps: 2.117
ep: 2430, loss: 3.272e-02, elps: 2.136
ep: 2440, loss: 3.856e-02, elps: 2.102
ep: 2450, loss: 2.219e-02, elps: 2.138
ep: 2460, loss: 5.115e-02, elps: 2.122
ep: 2470, loss: 3.942e-02, elps: 2.145
ep: 2480, loss: 7.159e-02, elps: 2.122
ep: 2490, loss: 3.654e-02, elps: 2.116
ep: 2500, loss: 1.825e-02, elps: 2.113
ep: 2510, loss: 1.376e-02, elps: 2.135
ep: 2520, loss: 1.633e-02, elps: 2.166
ep: 2530, loss: 1.975e-02, elps: 2.111
ep: 2540, loss: 1.161e-02, elps: 2.112
ep: 2550, loss: 1.111e-02, elps: 2.125
ep: 2560, loss: 1.513e-02, elps: 2.115
ep: 2570, loss: 8.399e-02, elps: 2.138
ep: 2580, loss: 7.113e-02, elps: 2.113
ep: 2590, loss: 4.049e-02, elps: 2.109
ep: 2600, loss: 1.342e-01, elps: 2.100
ep: 2610, loss: 5.354e-02, elps: 2.102
ep: 2620, loss: 2.429e-02, elps: 2.118
ep: 2630, loss: 1.706e-02, elps: 2.122
ep: 2640, loss: 1.243e-02, elps: 2.109
ep: 2650, loss: 1.138e-02, elps: 2.108
ep: 2660, loss: 1.305e-02, elps: 2.108
ep: 2670, loss: 3.202e-02, elps: 2.141
ep: 2680, loss: 6.745e-02, elps: 2.120
ep: 2690, loss: 2.823e-02, elps: 2.131
ep: 2700, loss: 4.079e-02, elps: 2.100
ep: 2710, loss: 3.583e-02, elps: 2.116
ep: 2720, loss: 2.182e-02, elps: 2.124
ep: 2730, loss: 3.625e-02, elps: 2.125
ep: 2740, loss: 6.117e-02, elps: 2.116
ep: 2750, loss: 5.025e-02, elps: 2.142
ep: 2760, loss: 7.398e-02, elps: 2.130
ep: 2770, loss: 2.992e-02, elps: 2.143
ep: 2780, loss: 1.848e-02, elps: 2.143
ep: 2790, loss: 1.771e-02, elps: 2.115
ep: 2800, loss: 2.453e-02, elps: 2.137
ep: 2810, loss: 7.153e-02, elps: 2.136
ep: 2820, loss: 1.947e-02, elps: 2.095
ep: 2830, loss: 1.491e-02, elps: 2.120
ep: 2840, loss: 1.377e-02, elps: 2.112
ep: 2850, loss: 2.732e-02, elps: 2.123
ep: 2860, loss: 7.807e-02, elps: 2.116
ep: 2870, loss: 2.477e-02, elps: 2.138
ep: 2880, loss: 1.510e-02, elps: 2.122
ep: 2890, loss: 1.335e-02, elps: 2.118
ep: 2900, loss: 2.895e-02, elps: 2.136
ep: 2910, loss: 2.301e-02, elps: 2.140
ep: 2920, loss: 2.317e-02, elps: 2.126
ep: 2930, loss: 2.217e-02, elps: 2.128
ep: 2940, loss: 3.926e-02, elps: 2.116
ep: 2950, loss: 4.849e-02, elps: 2.171
ep: 2960, loss: 2.044e-02, elps: 2.138
ep: 2970, loss: 1.568e-02, elps: 2.133
ep: 2980, loss: 2.398e-01, elps: 2.115
ep: 2990, loss: 5.181e-02, elps: 2.117
ep: 3000, loss: 2.662e-02, elps: 2.128
ep: 3010, loss: 1.583e-02, elps: 2.151
ep: 3020, loss: 1.314e-02, elps: 2.122
ep: 3030, loss: 1.609e-02, elps: 2.108
ep: 3040, loss: 4.520e-02, elps: 2.116
ep: 3050, loss: 2.479e-02, elps: 2.118
ep: 3060, loss: 4.437e-01, elps: 2.136
ep: 3070, loss: 9.964e-01, elps: 2.105
ep: 3080, loss: 4.593e-01, elps: 2.139
ep: 3090, loss: 1.919e-01, elps: 2.130
ep: 3100, loss: 1.467e-01, elps: 2.114
ep: 3110, loss: 1.164e-01, elps: 2.125
ep: 3120, loss: 1.224e-01, elps: 2.118
ep: 3130, loss: 8.599e-02, elps: 2.126
ep: 3140, loss: 1.524e-01, elps: 2.174
ep: 3150, loss: 8.286e-02, elps: 2.131
ep: 3160, loss: 5.160e-02, elps: 2.115
ep: 3170, loss: 4.642e-02, elps: 2.131
ep: 3180, loss: 8.431e-02, elps: 2.174
ep: 3190, loss: 7.791e-02, elps: 2.137
ep: 3200, loss: 9.479e-02, elps: 2.157
ep: 3210, loss: 6.678e-02, elps: 2.143
ep: 3220, loss: 4.479e-02, elps: 2.127
ep: 3230, loss: 3.043e-02, elps: 2.170
ep: 3240, loss: 5.365e-02, elps: 2.136
ep: 3250, loss: 4.669e-02, elps: 2.160
ep: 3260, loss: 7.449e-02, elps: 2.103
ep: 3270, loss: 4.913e-02, elps: 2.119
ep: 3280, loss: 3.253e-02, elps: 2.140
ep: 3290, loss: 3.912e-02, elps: 2.141
ep: 3300, loss: 2.519e-02, elps: 2.122
ep: 3310, loss: 3.207e-02, elps: 2.122
ep: 3320, loss: 7.241e-02, elps: 2.128
ep: 3330, loss: 6.679e-02, elps: 2.155
ep: 3340, loss: 6.344e-02, elps: 2.126
ep: 3350, loss: 3.862e-02, elps: 2.141
ep: 3360, loss: 2.985e-02, elps: 2.129
ep: 3370, loss: 1.625e-02, elps: 2.116
ep: 3380, loss: 2.213e-02, elps: 2.137
ep: 3390, loss: 4.715e-02, elps: 2.144
ep: 3400, loss: 3.668e-02, elps: 2.228
ep: 3410, loss: 2.212e-02, elps: 2.133
ep: 3420, loss: 2.476e-02, elps: 2.144
ep: 3430, loss: 1.613e-02, elps: 2.140
ep: 3440, loss: 1.709e-02, elps: 2.109
ep: 3450, loss: 2.801e-02, elps: 2.143
ep: 3460, loss: 3.285e-02, elps: 2.101
ep: 3470, loss: 9.229e-02, elps: 2.144
ep: 3480, loss: 4.428e-02, elps: 2.118
ep: 3490, loss: 2.322e-02, elps: 2.122
ep: 3500, loss: 2.953e-02, elps: 2.155
ep: 3510, loss: 1.920e-02, elps: 2.131
ep: 3520, loss: 5.397e-02, elps: 2.152
ep: 3530, loss: 5.201e-02, elps: 2.120
ep: 3540, loss: 3.037e-02, elps: 2.118
ep: 3550, loss: 1.750e-02, elps: 2.138
ep: 3560, loss: 1.416e-02, elps: 2.150
ep: 3570, loss: 1.381e-02, elps: 2.106
ep: 3580, loss: 4.341e-02, elps: 2.125
ep: 3590, loss: 3.893e-02, elps: 2.106
ep: 3600, loss: 2.835e-02, elps: 2.128
ep: 3610, loss: 2.159e-02, elps: 2.099
ep: 3620, loss: 1.671e-02, elps: 2.126
ep: 3630, loss: 1.603e-02, elps: 2.144
ep: 3640, loss: 1.298e-02, elps: 2.130
ep: 3650, loss: 1.604e-02, elps: 2.149
ep: 3660, loss: 1.085e-01, elps: 2.135
ep: 3670, loss: 6.631e-02, elps: 2.126
ep: 3680, loss: 2.780e-02, elps: 2.120
ep: 3690, loss: 1.642e-02, elps: 2.130
ep: 3700, loss: 1.167e-02, elps: 2.130
ep: 3710, loss: 1.104e-02, elps: 2.145
ep: 3720, loss: 2.884e-02, elps: 2.124
ep: 3730, loss: 3.367e-02, elps: 2.136
ep: 3740, loss: 3.216e-02, elps: 2.142
